id,countryId,code,name,description
1,1,default-default,По умолчанию,По умолчанию
83,78,japan-default,По умолчанию,По умолчанию
602,21,russia-sbertelecom,Сбербанк-Телеком,Сбербанк-Телеком
603,21,russia-transtelecom,ТрансТелеком,ТрансТелеком
604,21,russia-danycom,ДэниКом,ДэниКом
605,21,russia-tinkoffmobile,Тинькофф Мобайл,Тинькофф Мобайл
606,21,russia-internod,"ООО ""Интернод""","ООО ""Интернод"""
608,21,russia-mcntelecom,"ООО ""МСН Телеком""","ООО ""МСН Телеком"""
609,21,russia-almatel,"ООО ""Цифра Один""","ООО ""Цифра Один"""
610,21,russia-virginconnect,"ООО ""Тривон Нетворкс""","ООО ""Тривон Нетворкс"""
611,21,russia-countrycom,"ЗАО ""КантриКом""","ЗАО ""КантриКом"""
613,21,russia-cnt,"ОАО ""Центральный Телеграф""","ОАО ""Центральный Телеграф"""
614,21,russia-nss,НСС,НСС
615,21,russia-orenburggsm,Оренбург GSM,Оренбург GSM
802,21,russia-gpbmobile,Новые Мобильные Коммуникации ООО,Новые Мобильные Коммуникации ООО
803,21,russia-quantek,"ООО ""Квантек""","ООО ""Квантек"""
1002,21,russia-phoenix,"ГУП ""РЕСПУБЛИКАНСКИЙ ОПЕРАТОР СВЯЗИ""","ГУП ""РЕСПУБЛИКАНСКИЙ ОПЕРАТОР СВЯЗИ"""
237,21,russia-tattelecom,"ОАО ""ТатТелеком""","ОАО ""ТатТелеком"""
238,21,russia-skylink,Скай Линк,Скай Линк
241,21,russia-vainah_telecom,"ЗАО ""Вайнах Телеком""","ЗАО ""Вайнах Телеком"""
249,21,russia-motiv,МОТИВ,МОТИВ
250,21,russia-mtt,МТТ,МТТ
251,21,russia-yota,Скартел,Скартел
253,21,russia-akos,АКОС,АКОС
256,21,russia-sotel,Сотел,Сотел
257,21,russia-vtell,V-TELL Telecom,V-TELL Telecom
258,21,russia-matrix_telecom,"ООО ""Матрикс Телеком""","ООО ""Матрикс Телеком"""
259,21,russia-rostelecom,Ростелеком,Ростелеком
402,21,russia-mgts,МГТС,МГТС
403,21,russia-ktelecom,К-Телеком,К-Телеком
404,21,russia-simsim,Simsim,Simsim
405,21,russia-crimeatelecom,КрымТелеком,КрымТелеком
406,21,russia-sevtelecom,СевастопольТелеком,СевастопольТелеком
407,21,russia-ktktelecom,КTK-Телеком,КTK-Телеком
408,21,russia-sprint,"ООО ""Спринт""","ООО ""Спринт"""
621,21,russia-skynetworks,"ООО ""Скай Нетворкс""","ООО ""Скай Нетворкс"""
623,21,russia-mittel,"ЗАО ""МИТ-ТЕЛ""","ЗАО ""МИТ-ТЕЛ"""
626,21,russia-sonet,"ООО ""Сонет""","ООО ""Сонет"""
627,21,russia-bwc,Байкалвестком,Байкалвестком
628,21,russia-tvetelecom,"ООО ""ТВЕ-ТЕЛЕКОМ""","ООО ""ТВЕ-ТЕЛЕКОМ"""
629,21,russia-vtbmobile,ВТБ-Мобайл,ВТБ-Мобайл
630,21,russia-lycamobile,"ООО ""Лайкамобайл""","ООО ""Лайкамобайл"""
631,21,russia-miatel,"ООО ""МиАТел""","ООО ""МиАТел"""
632,21,russia-gaspromtelecom,"ООО ""Газпром телеком""","ООО ""Газпром телеком"""
636,21,russia-astran,"ООО ""Астран""","ООО ""Астран"""
637,21,russia-voentelecom,"АО ""Воентелеком""","АО ""Воентелеком"""
638,21,russia-arktik_region,"ОАО ""Арктик Регион Связь""","ОАО ""Арктик Регион Связь"""
808,21,russia-magnitmobile,"АО ""Тандер""","АО ""Тандер"""
809,21,russia-febotelecom,"ООО ""Цифра групп""","ООО ""Цифра групп"""
810,21,russia-plintron,"ООО ""Плинтрон""","ООО ""Плинтрон"""
811,21,russia-center2m,"ООО ""ЦЕНТР 2М""","ООО ""ЦЕНТР 2М"""
815,21,russia-mirandamedia,"ООО ""Миранда-медиа""","ООО ""Миранда-медиа"""
816,21,russia-expressmobile,"ООО ""ЭКСПРЕСС МОБАЙЛ""","ООО ""ЭКСПРЕСС МОБАЙЛ"""
817,21,russia-lugacom,"ООО ""МОБИЛЬНЫЕ КОММУНИКАЦИОННЫЕ СИСТЕМЫ""","ООО ""МОБИЛЬНЫЕ КОММУНИКАЦИОННЫЕ СИСТЕМЫ"""
21,21,russia-beeline,Билайн,Билайн
22,21,russia-megafon,МегаФон,МегаФон
23,21,russia-default,По умолчанию,По умолчанию
24,21,russia-tele2,TELE2,TELE2
25,21,russia-mts,МТС,МТС
26,21,russia-smarts,СМАРТС,СМАРТС
