id,operatorId,code,name,description,timeZone
1,1,default-default-default-default,По умолчанию,По умолчанию,Europe/Moscow
54,21,russia-beeline-beeline-ryazanskaya_oblast,Рязанская область,Рязанская область,Europe/Moscow
55,21,russia-beeline-beeline-respublika_komi,Республика Коми,Республика Коми,Europe/Moscow
56,21,russia-beeline-beeline-respublika_ingushetiya,Республика Ингушетия,Республика Ингушетия,Europe/Moscow
57,21,russia-beeline-beeline-kabardino_balkarskaya_respublika,Кабардино-Балкарская Республика,Кабардино-Балкарская Республика,Europe/Moscow
58,21,russia-beeline-beeline-novgorodskaya_oblast,Новгородская область,Новгородская область,Europe/Moscow
59,21,russia-beeline-beeline-tulskaya_oblast,Тульская область,Тульская область,Europe/Moscow
60,21,russia-beeline-beeline-ulyanovskaya_oblast,Ульяновская область,Ульяновская область,Europe/Moscow
61,21,russia-beeline-beeline-respublika_kalmykiya,Республика Калмыкия,Республика Калмыкия,Europe/Moscow
62,21,russia-beeline-beeline-orlovskaya_oblast,Орловская область,Орловская область,Europe/Moscow
63,21,russia-beeline-beeline-murmanskaya_oblast,Мурманская область,Мурманская область,Europe/Moscow
64,21,russia-beeline-beeline-primorskii_krai,Приморский край,Приморский край,Asia/Vladivostok
65,21,russia-beeline-beeline-respublika_marii_el,Республика Марий Эл,Республика Марий Эл,Europe/Moscow
66,21,russia-beeline-beeline-altaiskii_krai,Алтайский край,Алтайский край,Asia/Krasnoyarsk
67,21,russia-beeline-beeline-respublika_udmurtiya,Республика Удмуртия,Республика Удмуртия,Europe/Moscow
68,21,russia-beeline-beeline-respublika_dagestan,Республика Дагестан,Республика Дагестан,Europe/Moscow
69,21,russia-beeline-beeline-penzenskaya_oblast,Пензенская область,Пензенская область,Europe/Moscow
70,21,russia-beeline-beeline-omskaya_oblast,Омская область,Омская область,Asia/Omsk
71,21,russia-beeline-beeline-evreiskaya_ao,Еврейская АО,Еврейская АО,Asia/Vladivostok
72,21,russia-beeline-beeline-orenburgskaya_oblast,Оренбургская область,Оренбургская область,Asia/Yekaterinburg
73,21,russia-beeline-beeline-permskii_krai,Пермский край,Пермский край,Asia/Yekaterinburg
74,21,russia-beeline-beeline-tumenskaya_oblast,Тюменская область,Тюменская область,Asia/Yekaterinburg
75,21,russia-beeline-beeline-tverskaya_oblast,Тверская область,Тверская область,Europe/Moscow
76,21,russia-beeline-beeline-tomskaya_oblast,Томская область,Томская область,Asia/Krasnoyarsk
77,21,russia-beeline-beeline-respublika_kareliya,Республика Карелия,Республика Карелия,Europe/Moscow
78,21,russia-beeline-beeline-habarovskii_krai,Хабаровский Край,Хабаровский Край,Asia/Vladivostok
79,21,russia-beeline-beeline-pskovskaya_oblast,Псковская область,Псковская область,Europe/Moscow
80,21,russia-beeline-beeline-respublika_severnaya_osetiya,Республика Северная Осетия,Республика Северная Осетия,Europe/Moscow
81,21,russia-beeline-beeline-magadanskaya_oblast,Магаданская область,Магаданская область,Asia/Magadan
82,21,russia-beeline-beeline-chechenskaya_respublika,Чеченская Республика,Чеченская Республика,Europe/Moscow
83,21,russia-beeline-beeline-vologodskaya_oblast,Вологодская область,Вологодская область,Europe/Moscow
84,21,russia-beeline-beeline-yamalo_neneckii_ao,Ямало-Ненецкий АО,Ямало-Ненецкий АО,Asia/Yekaterinburg
85,21,russia-beeline-beeline-zabaikalskii_krai,Забайкальский край,Забайкальский край,Asia/Yakutsk
86,21,russia-beeline-beeline-kurganskaya_oblast,Курганская область,Курганская область,Asia/Yekaterinburg
87,21,russia-beeline-beeline-hanty_mansiiskii_ao,Ханты-Мансийский АО,Ханты-Мансийский АО,Asia/Yekaterinburg
88,21,russia-beeline-beeline-irkutskaya_oblast,Иркутская область,Иркутская область,Asia/Irkutsk
89,21,russia-beeline-beeline-respublika_saha_(yakutiya),Республика Саха (Якутия),Республика Саха (Якутия),Asia/Yakutsk
90,21,russia-beeline-beeline_sakhalin-sahalinskaya_oblast,Сахалинская область,Сахалинская область,Asia/Vladivostok
91,22,russia-megafon-megafon_dv-kamchatskii_krai,Камчатский край,Камчатский край,Asia/Kamchatka
92,22,russia-megafon-megafon_dv-irkutskaya_oblast,Иркутская область,Иркутская область,Asia/Irkutsk
93,22,russia-megafon-megafon_dv-primorskii_krai,Приморский край,Приморский край,Asia/Vladivostok
